,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity,type,S
81,SPY260213C00755000,2026-01-09 20:09:27+00:00,755.0,0.11,0.1,0.11,0.0,0.0,4.0,91.0,0.12305564453125001,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
82,SPY260213C00760000,2026-01-09 17:03:42+00:00,760.0,0.09,0.08,0.09,0.0,0.0,1.0,3.0,0.127938408203125,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
83,SPY260213C00765000,2026-01-09 14:33:30+00:00,765.0,0.08,0.07,0.08,-0.020000003,-20.000004,25.0,126.0,0.13428600097656251,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
84,SPY260213C00775000,2026-01-06 15:20:31+00:00,775.0,0.06,0.05,0.06,0.0,0.0,,6.0,0.1450280810546875,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
85,SPY260213C00780000,2026-01-07 16:43:54+00:00,780.0,0.07,0.04,0.06,0.0,0.0,12.0,13.0,0.15235222656250003,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
86,SPY260213C00785000,2026-01-07 17:25:51+00:00,785.0,0.04,0.04,0.05,-0.010000002,-20.000004,1.0,22.0,0.1562584375,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
87,SPY260213C00800000,2026-01-08 16:54:14+00:00,800.0,0.04,0.03,0.04,0.0,0.0,1.0,16.0,0.17383638671875,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
88,SPY260320C00245000,2025-12-15 20:40:50+00:00,245.0,437.26,449.45,452.25,0.0,0.0,2.0,58.0,1.1657756555175784,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
89,SPY260320C00250000,2026-01-05 19:35:24+00:00,250.0,440.24,444.49,447.3,0.0,0.0,5.0,33.0,1.1501507336425782,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
90,SPY260320C00255000,2025-06-24 13:31:31+00:00,255.0,355.14,410.07,413.38,0.0,0.0,,22.0,1.0000000000000003e-05,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
91,SPY260320C00260000,2025-08-14 14:23:29+00:00,260.0,388.32,405.19,408.5,0.0,0.0,1.0,28.0,1.0000000000000003e-05,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
92,SPY260320C00265000,2025-08-15 18:01:28+00:00,265.0,383.68,400.31,403.62,0.0,0.0,1.0,12.0,1.0000000000000003e-05,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
93,SPY260320C00270000,2025-09-18 16:06:01+00:00,270.0,396.21,397.02,400.01,0.0,0.0,3.0,26.0,1.0000000000000003e-05,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
94,SPY260320C00275000,2025-12-16 18:39:23+00:00,275.0,403.22,419.69,422.44,0.0,0.0,2.0,10.0,1.0681198937988285,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
95,SPY260320C00285000,2025-06-16 13:31:34+00:00,285.0,321.9,347.77,351.1,0.0,0.0,2.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
96,SPY260320C00290000,2026-01-09 15:55:17+00:00,290.0,404.0,404.81,407.6,3.0,0.74812967,2.0,13.0,1.0251513586425784,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
97,SPY260320C00295000,2025-04-03 19:53:36+00:00,295.0,253.05,278.76,282.61,0.0,0.0,15.0,17.0,1.0000000000000003e-05,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
98,SPY260320C00300000,2025-12-12 16:21:06+00:00,300.0,382.75,394.88,397.68,0.0,0.0,3.0,96.0,0.9953613745117188,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
99,SPY260320C00305000,2025-12-31 19:14:23+00:00,305.0,383.72,389.92,392.72,0.0,0.0,1.0,4.0,0.9809572216796876,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
100,SPY260320C00310000,2025-12-31 19:12:19+00:00,310.0,378.75,384.96,387.76,0.0,0.0,1.0,1.0,0.9665530688476562,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
101,SPY260320C00315000,2025-12-15 20:41:23+00:00,315.0,368.19,380.0,382.8,0.0,0.0,1.0,44.0,0.9523930541992187,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
102,SPY260320C00320000,2025-12-30 20:51:09+00:00,320.0,370.64,375.04,377.84,0.0,0.0,2.0,36.0,0.938477177734375,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
103,SPY260320C00325000,2025-12-30 20:51:09+00:00,325.0,365.67,370.1,372.88,0.0,0.0,2.0,3.0,0.9252937158203125,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
104,SPY260320C00330000,2026-01-09 18:30:49+00:00,330.0,366.54,365.14,367.88,9.190002,2.5717092,1.0,19.0,0.910035079345703,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
105,SPY260320C00335000,2025-12-26 14:56:32+00:00,335.0,359.1,360.16,362.97,0.0,0.0,5.0,2.0,0.8974619628906249,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
106,SPY260320C00340000,2025-12-19 20:25:46+00:00,340.0,344.41,355.2,358.01,0.0,0.0,11.0,26.0,0.8839122937011719,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
107,SPY260320C00345000,2026-01-07 15:32:38+00:00,345.0,349.6,350.24,353.05,0.0,0.0,1.0,41.0,0.8704846936035155,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
108,SPY260320C00350000,2026-01-08 19:55:54+00:00,350.0,341.75,345.29,348.09,0.0,0.0,4.0,464.0,0.8575453698730469,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
109,SPY260320C00355000,2026-01-09 18:06:06+00:00,355.0,341.85,340.35,343.13,6.5200195,1.9443592,1.0,38.0,0.8449722534179687,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
110,SPY260320C00360000,2026-01-07 20:20:06+00:00,360.0,333.5,335.39,338.18,0.0,0.0,3.0,60.0,0.8322770678710936,True,REGULAR,USD,2026-03-20,EuropeanCall,694.4400024414062
